Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating,Valuation_to_ARR
Miro,2011,"San Francisco, CA, USA",Collaboration,476.3,400.0,17500.0,1800,"ICONIQ, Accel, GV",Visual Collaboration Platform,4.7,43.75
Grammarly,2009,"San Francisco, CA, USA",Writing Assistant,400.0,300.0,13000.0,600,"General Catalyst, IVP",AI Writing Assistant,4.6,43.333333333333336
Benchling,2012,"San Francisco, CA, USA",Life Sciences R&D,425.0,100.0,6100.0,600,"Altimeter, Lux Capital",Life Sciences R&D Platform,4.6,61.0
